Titulo; Novos; Usados; Data
Livro
O Ateneu;636 livros novos;4.941 livros usados;2021-02-05 09:15:45;
Livro
Memórias de um Sargento de Milícias;1.081 livros novos;6.965 livros usados;2021-02-05 09:15:53;
Livro
Senhora;571 livros novos;3.053 livros usados;2021-02-05 09:15:59;
Livro
Triste Fim de Policarpo Quaresma;719 livros novos;4.177 livros usados;2021-02-05 09:16:05;
Livro
O Guarani;439 livros novos;2.781 livros usados;2021-02-05 09:16:11;
Livro
Brás, Bexiga e Barra Funda;262 livros novos;3.265 livros usados;2021-02-05 09:16:17;
Livro
Amor de Perdição;424 livros novos;3.689 livros usados;2021-02-05 09:16:23;
Livro
Contos;492 livros novos;3.448 livros usados;2021-02-05 09:16:29;
Livro
Memórias Póstumas de Brás Cubas;992 livros novos;1.981 livros usados;2021-02-05 09:16:34;
Livro
O Noviço;183 livros novos;4.217 livros usados;2021-02-05 09:16:40;
Livro
As Mentiras Que os Homens Contam;144 livros novos;1.702 livros usados;2021-02-05 09:16:44;
Livro
Cinco Minutos a Viuvinha;385 livros novos;2.723 livros usados;2021-02-05 09:16:50;
Livro
Helena;356 livros novos;1.692 livros usados;2021-02-05 09:16:56;
Livro
Iracema;915 livros novos;2.714 livros usados;2021-02-05 09:17:02;
Livro
O Melhor das Comédias da Vida Privada;35 livros novos;1.843 livros usados;2021-02-05 09:17:08;
Livro
O Primo Basílio;570 livros novos;3.789 livros usados;2021-02-05 09:17:14;
Livro
Perdas e Ganhos;77 livros novos;2.075 livros usados;2021-02-05 09:17:19;
Livro
Noite na Taverna;370 livros novos;1.546 livros usados;2021-02-05 09:17:23;
Livro
O Cortiço;627 livros novos;1.787 livros usados;2021-02-05 09:17:28;
Livro
Um Certo Capitão Rodrigo;108 livros novos;1.644 livros usados;2021-02-05 09:17:33;
Livro
Na Margem do Rio Piedra Eu Sentei e Chorei;50 livros novos;1.256 livros usados;2021-02-05 09:17:38;
Livro
O Zahir;149 livros novos;1.170 livros usados;2021-02-05 09:17:43;
Livro
Dom Casmurro;932 livros novos;2.713 livros usados;2021-02-05 09:17:48;
Livro
Quincas Borba;382 livros novos;1.045 livros usados;2021-02-05 09:17:53;
Livro
Macunaíma;606 livros novos;1.354 livros usados;2021-02-05 09:17:59;
Livro
A Cidade e as Serras;461 livros novos;2.550 livros usados;2021-02-05 09:18:04;
Livro
Onze Minutos;76 livros novos;1.110 livros usados;2021-02-05 09:18:09;
Livro
As Pupilas do Senhor Reitor;161 livros novos;2.139 livros usados;2021-02-05 09:18:14;
Livro
Mão e a Luva, a;402 livros novos;1.392 livros usados;2021-02-05 09:18:19;
Livro
A Moreninha (Grandes Leituras);178 livros novos;1.490 livros usados;2021-02-05 09:18:23;
